-nan -nan -nan -nan
inf inf inf 0.948892
inf inf inf 1.14937
inf inf inf 1.00971
inf inf inf 1.0575
inf inf inf 1.00705
inf inf inf 1.49959
inf inf inf 1.10541
inf inf inf 1.28834
inf inf inf 0.926994
inf inf inf 1.20008
inf inf inf 0.873218
inf inf inf 1.0352
inf inf inf 0.762917
inf inf inf 0.977629
inf inf inf 1.18561
inf inf inf 1.55413
inf inf inf 1.62387
inf inf inf 0.846699
inf inf inf 1.0597
inf inf inf 1.62837
inf inf inf 1.03256
inf inf inf 1.47094
inf inf inf 1.02971
inf inf inf 1.5502
inf inf inf 0.71324
inf inf inf 1.65477
inf inf inf 1.45121
inf inf inf 1.53057
inf inf inf 1.61568
inf inf inf 0.91663
inf inf inf 0.880063
inf inf inf 1.1334
inf inf inf 0.97431
inf inf inf 0.828452
inf inf inf 0.845579
inf inf inf 0.902856
inf inf inf 1.22828
inf inf inf 0.860114
inf inf inf 1.5625
inf inf inf 1.4156
inf inf inf 1.12296
inf inf inf 0.96752
inf inf inf inf
inf inf inf 0.928496
inf inf inf 0.969637
inf inf inf 1.07342
inf inf inf 1.57138
inf inf inf 1.59406
inf inf inf 1.60112
inf inf inf 0.997357
inf inf inf 1.12775
inf inf inf 1.06241
inf inf inf 0.854905
inf inf inf 1.62384
inf inf inf 0.969101
inf inf inf 0.911662
inf inf inf inf
inf inf inf 1.14651
inf inf inf 1.6336
inf inf inf 0.948901
inf inf inf 1.09597
inf inf inf 0.934581
inf inf inf 0.914163
inf inf inf 1.0159
inf inf inf 0.863728
inf inf inf 1.14575
inf inf inf 0.992774
inf inf inf 0.921916
inf inf inf 1.56621
inf inf inf 1.49191
inf inf inf 0.877001
inf inf inf 1.10243
inf inf inf 1.45739
inf inf inf 1.38681
inf inf inf 1.02473
inf inf inf 0.980323
inf inf inf 0.782485
inf inf inf 1.34559
inf inf inf 0.939203
inf inf inf 1.00666
inf inf inf 1.10346
inf inf inf 0.991194
inf inf inf 0.981835
inf inf inf inf
-nan -nan -nan 0
inf inf inf 1.94372
inf inf inf 1.08938
inf inf inf 0.97199
inf inf inf 1.21694
inf inf inf 0.956542
inf inf inf 0.86348
inf inf inf 0.956103
inf inf inf 1.77645
inf inf inf 0.932329
inf inf inf 1.26573
inf inf inf inf
inf inf inf 2.44238
inf inf inf 1.16259
inf inf inf 1.41988
inf inf inf 1.91018
inf inf inf 0.802266
inf inf inf 1.05697
inf inf inf 1.43188
inf inf inf 1.15701
inf inf inf 1.25444
inf inf inf 0.71976
inf inf inf 1.02615
inf inf inf 1.27851
inf inf inf 1.71022
inf inf inf 1.08667
inf inf inf 0.743524
inf inf inf 1.24058
inf inf inf 0.729991
inf inf inf 1.04145
inf inf inf 1.34065
inf inf inf 1.19251
inf inf inf 1.752
inf inf inf 1.43149
inf inf inf 0.843672
inf inf inf 1.7385
inf inf inf 1.07532
inf inf inf 1.2898
inf inf inf 1.04771
inf inf inf 0.774787
inf inf inf 0.931207
inf inf inf 0.77402
inf inf inf 1.20077
inf inf inf 0.923794
inf inf inf inf
inf inf inf 0.69219
inf inf inf 1.07828
inf inf inf inf
inf inf inf 1.8679
inf inf inf 1.86628
inf inf inf 1.30976
inf inf inf 1.12739
inf inf inf 1.82356
inf inf inf 1.01813
inf inf inf 1.45979
inf inf inf 0.871166
inf inf inf 1.02383
inf inf inf 1.17423
inf inf inf inf
inf inf inf 1.09025
inf inf inf 1.03934
inf inf inf 1.12336
inf inf inf 1.16295
inf inf inf 1.01269
inf inf inf 1.30483
inf inf inf 1.0108
inf inf inf 1.20935
inf inf inf 1.16679
inf inf inf 0.997977
inf inf inf 0.758881
inf inf inf 1.12684
inf inf inf 1.06654
inf inf inf 0.966689
inf inf inf 1.07764
inf inf inf 0.950885
inf inf inf 1.3543
inf inf inf 1.14685
inf inf inf 1.64138
inf inf inf 1.08188
inf inf inf 1.24559
inf inf inf 0.774774
inf inf inf 0.854773
inf inf inf 0.98699
inf inf inf 0.968707
inf inf inf 1.05346
inf inf inf 1.04078
inf inf inf inf
inf inf inf 0.92834
inf inf inf 0.783597
inf inf inf 0.614454
inf inf inf 1.00716
inf inf inf 1.36041
inf inf inf 1.8236
inf inf inf 1.44957
inf inf inf 0.926497
inf inf inf 1.17422
inf inf inf 1.23689
inf inf inf 1.44915
inf inf inf 1.02988
